finn_id,title,url,price_cleaned,year_cleaned,mileage_cleaned,battery_capacity_cleaned,effect_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,first_seen_date
452555274,Nissan Leaf,https://www.finn.no/mobility/item/452555274,54532.0,2016,110682,30.0,109.0,0.43333333333333335,4.0,0,2026-03-02
452055940,Nissan Leaf,https://www.finn.no/mobility/item/452055940,199505.0,2023,48000,39.0,150.0,20.933333333333334,1.0,0,2026-03-02
359362990,Nissan Leaf,https://www.finn.no/mobility/item/359362990,120305.0,2018,107200,40.0,150.0,21.866666666666667,1.0,0,2026-03-02
452974816,Nissan Leaf,https://www.finn.no/mobility/item/452974816,198800.0,2021,50100,62.0,215.0,20.133333333333333,2.0,0,2026-03-02
452967122,Nissan Leaf,https://www.finn.no/mobility/item/452967122,12942.0,2014,125300,40.0,109.0,-1.8666666666666667,3.0,0,2026-03-02
452939776,Nissan Leaf,https://www.finn.no/mobility/item/452939776,209000.0,2023,32300,39.0,149.0,12.0,2.0,0,2026-03-02
452854888,Nissan Leaf,https://www.finn.no/mobility/item/452854888,145000.0,2019,72220,40.0,150.0,12.0,1.0,0,2026-03-02
452790047,Nissan Leaf,https://www.finn.no/mobility/item/452790047,59900.0,2016,73319,24.0,109.0,8.2,2.0,0,2026-03-02
452779673,Nissan Leaf,https://www.finn.no/mobility/item/452779673,139000.0,2019,83300,39.0,149.0,12.0,2.0,0,2026-03-02
452775207,Nissan Leaf,https://www.finn.no/mobility/item/452775207,239900.0,2023,30000,62.0,218.0,12.0,2.0,0,2026-03-02
452774661,Nissan Leaf,https://www.finn.no/mobility/item/452774661,114900.0,2018,71000,40.0,150.0,12.0,2.0,0,2026-03-02
452683165,Nissan Leaf,https://www.finn.no/mobility/item/452683165,189000.0,2021,66900,62.0,215.0,10.466666666666667,1.0,0,2026-03-02
452710441,Nissan Leaf,https://www.finn.no/mobility/item/452710441,119000.0,2019,100500,40.0,150.0,12.0,2.0,0,2026-03-02
452704707,Nissan Leaf,https://www.finn.no/mobility/item/452704707,44932.0,2015,160674,24.0,109.0,12.366666666666667,1.0,0,2026-03-02
452685103,Nissan Leaf,https://www.finn.no/mobility/item/452685103,149000.0,2019,54000,39.0,149.0,12.0,2.0,0,2026-03-02
