title,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,2022,65411.0,270.0,22.6,1.0,0,1.0,Ukjent,Annet,1,Autoplan AS,0,69000.0,120998,51998,https://www.finn.no/mobility/item/452639352
Nissan Leaf,2022,58000.0,270.0,12.0,2.0,0,0.0,Ukjent,Oslo/Akershus,1,Oslo Varebil Spesialisten AS,0,139500.0,185008,45508,https://www.finn.no/mobility/item/450878359
Nissan Leaf,2023,79000.0,278.0,12.0,1.0,0,1.0,Tekna,Oslo/Akershus,1,Bilsalongen AS,0,155600.0,184694,29094,https://www.finn.no/mobility/item/451250811
Nissan Leaf,2017,157800.0,270.0,-27.5,1.0,0,0.0,Ukjent,Østfold,1,BIL & MEK AS,0,25000.0,51267,26267,https://www.finn.no/mobility/item/441720972
Nissan Leaf,2019,120800.0,270.0,23.4,1.0,0,1.0,Ukjent,Annet,1,Overhalla Speed Auto,0,99932.0,123911,23979,https://www.finn.no/mobility/item/447625689
Nissan Leaf,2026,5.0,445.0,12.0,1.0,0,1.0,Ukjent,Annet,1,Birger N Haug avd. Rud,0,369900.0,392411,22511,https://www.finn.no/mobility/item/444942042
Nissan Leaf,2016,137800.0,270.0,12.0,2.0,0,0.0,Ukjent,Vestfold/Telemark,1,Telemark Bilutsalg AS,0,27500.0,49367,21867,https://www.finn.no/mobility/item/451327405
Nissan Leaf,2021,49300.0,385.0,21.5,1.0,0,1.0,Ukjent,Annet,1,DRIVALIA LEASE NORGE AS,0,179000.0,200828,21828,https://www.finn.no/mobility/item/449342114
Nissan Leaf,2018,185000.0,270.0,0.9,1.0,0,0.0,Ukjent,Rogaland,1,RS AUTO AS,0,43000.0,63410,20410,https://www.finn.no/mobility/item/452749952
Nissan Leaf,2019,141000.0,270.0,12.0,1.0,0,0.0,Ukjent,Sørlandet,1,TG BIL & BÅT AS,0,99000.0,118766,19766,https://www.finn.no/mobility/item/450860953
Nissan Leaf,2022,50500.0,270.0,22.166666666666668,2.0,0,0.0,Ukjent,Vestfold/Telemark,1,Ramnes Bil AS,0,139532.0,159236,19704,https://www.finn.no/mobility/item/447134279
Nissan Leaf,2018,91900.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,SANDNES BRUKTBIL AS,0,109000.0,128700,19700,https://www.finn.no/mobility/item/451919768
Nissan Leaf,2021,40700.0,270.0,12.0,1.0,0,0.0,Ukjent,Vestfold/Telemark,1,Telemark Bilutsalg AS,0,144900.0,164400,19500,https://www.finn.no/mobility/item/441012966
Nissan Leaf,2021,39000.0,270.0,12.0,1.0,0,0.0,Ukjent,Annet,1,Auksjonen.No AS,0,144532.0,163965,19433,https://www.finn.no/mobility/item/453554500
Nissan Leaf,2019,31143.0,270.0,17.533333333333335,1.0,0,0.0,N-Connecta,Oslo/Akershus,0,,0,124434.0,143274,18840,https://www.finn.no/mobility/item/434603759
Nissan Leaf,2018,86000.0,270.0,7.0,1.0,0,0.0,Ukjent,Oslo/Akershus,0,,0,99532.0,117858,18326,https://www.finn.no/mobility/item/451046761
Nissan Leaf,2018,145000.0,270.0,12.0,2.0,0,0.0,Ukjent,Oslo/Akershus,1,CARHOUSE AS,0,89000.0,107174,18174,https://www.finn.no/mobility/item/451633192
Nissan Leaf,2017,86097.0,150.0,12.0,2.0,0,0.0,Ukjent,Rogaland,1,Rebil Salgshjelp,0,35000.0,52890,17890,https://www.finn.no/mobility/item/440209748
Nissan Leaf,2019,51979.0,270.0,12.0,2.0,0,1.0,Ukjent,Sørlandet,1,AUTO COMPANY AS,0,129900.0,147067,17167,https://www.finn.no/mobility/item/453473376
Nissan Leaf,2018,137000.0,270.0,6.0,4.0,0,0.0,Tekna,Annet,0,,0,89900.0,105953,16053,https://www.finn.no/mobility/item/452133070
Nissan Leaf,2016,47300.0,250.0,23.73333333333333,2.0,0,0.0,Ukjent,Trøndelag,1,RSR AS,0,52000.0,68030,16030,https://www.finn.no/mobility/item/440656379
Nissan Leaf,2019,100500.0,270.0,12.0,2.0,0,0.0,Ukjent,Rogaland,1,Digicarsale AS,0,105000.0,120945,15945,https://www.finn.no/mobility/item/452463363
Nissan Leaf,2018,42011.0,270.0,23.266666666666666,1.0,0,0.0,Ukjent,Vestland,0,,0,123434.0,139050,15616,https://www.finn.no/mobility/item/442523970
Nissan Leaf,2020,164000.0,270.0,12.0,2.0,0,0.0,Ukjent,Vestfold/Telemark,1,Auksjonen.No AS,0,109432.0,124640,15208,https://www.finn.no/mobility/item/452422651
Nissan Leaf,2013,142000.0,270.0,8.266666666666667,3.0,0,0.0,Ukjent,Annet,0,,0,14942.0,30147,15205,https://www.finn.no/mobility/item/453307370
Nissan Leaf,2023,32736.0,270.0,12.933333333333334,1.0,0,1.0,N-Connecta,Oslo/Akershus,0,,0,187505.0,202616,15111,https://www.finn.no/mobility/item/448070988
Nissan Leaf,2018,74000.0,270.0,12.533333333333331,1.0,0,0.0,Ukjent,Vestland,0,,0,106434.0,121142,14708,https://www.finn.no/mobility/item/443173205
Nissan Leaf,2020,87000.0,385.0,12.0,1.0,0,1.0,N-Connecta,Annet,1,Romerike Autohus AS,0,159000.0,173503,14503,https://www.finn.no/mobility/item/450147346
Nissan Leaf,2017,163491.0,270.0,16.1,1.0,0,0.0,Tekna,Sørlandet,0,,0,42532.0,56864,14332,https://www.finn.no/mobility/item/450689561
Nissan Leaf,2022,58500.0,284.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Gretland Bil AS,0,159000.0,173231,14231,https://www.finn.no/mobility/item/452810723
Nissan Leaf,2023,26000.0,285.0,17.933333333333334,1.0,0,1.0,Visia,Vestland,1,Mobile Kokstad AS,0,199900.0,213991,14091,https://www.finn.no/mobility/item/424302880
Nissan Leaf,2020,142800.0,270.0,24.666666666666668,1.0,0,0.0,Ukjent,Annet,0,,0,99532.0,113496,13964,https://www.finn.no/mobility/item/449088162
Nissan Leaf,2022,18026.0,270.0,12.0,1.0,0,1.0,Ukjent,Annet,1,ARM Bil AS,0,189000.0,202668,13668,https://www.finn.no/mobility/item/449924579
Nissan Leaf,2020,19000.0,271.0,6.5,1.0,0,1.0,Ukjent,Annet,1,Polar Bil AS,0,162434.0,175999,13565,https://www.finn.no/mobility/item/380169385
Nissan Leaf,2018,143000.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,LOYAL AUTO AS,0,89000.0,102565,13565,https://www.finn.no/mobility/item/445335868
Nissan Leaf,2018,35000.0,270.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Brennes Auto AS,0,139000.0,152454,13454,https://www.finn.no/mobility/item/444945210
Nissan Leaf,2018,90400.0,270.0,22.7,2.0,0,1.0,Tekna,Vestland,0,,0,119900.0,133351,13451,https://www.finn.no/mobility/item/447098165
Nissan Leaf,2019,82284.0,270.0,12.0,1.0,0,1.0,Tekna,Oslo/Akershus,1,Auto Solution AS,0,114800.0,128191,13391,https://www.finn.no/mobility/item/452656488
Nissan Leaf,2018,103000.0,270.0,12.0,1.0,0,1.0,Tekna,Annet,1,Car4Sale AS,0,99900.0,113161,13261,https://www.finn.no/mobility/item/452497607
Nissan Leaf,2024,20269.0,278.0,25.133333333333333,2.0,0,1.0,Ukjent,Oslo/Akershus,1,Mobile Skøyen AS,0,218900.0,232149,13249,https://www.finn.no/mobility/item/449344088
Nissan Leaf,2022,50137.0,285.0,8.366666666666667,1.0,0,1.0,Visia,Annet,1,Mobile Kongsvinger,0,158900.0,171942,13042,https://www.finn.no/mobility/item/452509755
Nissan Leaf,2026,10.0,440.0,12.0,1.0,0,1.0,Ukjent,Trøndelag,1,Auto 8-8 Witro AS,0,379400.0,392411,13011,https://www.finn.no/mobility/item/445766927
Nissan Leaf,2021,68550.0,385.0,12.0,1.0,0,1.0,Tekna,Annet,1,Rebil,0,174900.0,187910,13010,https://www.finn.no/mobility/item/449813475
Nissan Leaf,2019,50000.0,270.0,12.0,1.0,0,0.0,Tekna,Oslo/Akershus,0,,0,128000.0,140992,12992,https://www.finn.no/mobility/item/449441976
Nissan Leaf,2020,43000.0,270.0,12.0,1.0,0,1.0,Ukjent,Trøndelag,1,Aage Vold Autosalg AS,0,149000.0,161953,12953,https://www.finn.no/mobility/item/451758421
Nissan Leaf,2012,127000.0,93.0,2.933333333333333,2.0,0,0.0,Ukjent,Rogaland,0,,0,16942.0,29880,12938,https://www.finn.no/mobility/item/446722351
Nissan Leaf,2020,22750.0,270.0,19.9,2.0,0,0.0,Ukjent,Vestland,0,,0,144532.0,156995,12463,https://www.finn.no/mobility/item/451920189
Nissan Leaf,2016,126766.0,270.0,2.8,3.0,0,0.0,Tekna,Annet,0,,0,28532.0,40707,12175,https://www.finn.no/mobility/item/453476798
Nissan Leaf,2023,46000.0,278.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Dahles Auto Moss AS,0,189900.0,202053,12153,https://www.finn.no/mobility/item/435621123
Nissan Leaf,2018,53500.0,270.0,12.0,1.0,0,1.0,Ukjent,Annet,1,Nitteberg Bil AS,0,119000.0,131104,12104,https://www.finn.no/mobility/item/452808226
Nissan Leaf,2017,97000.0,270.0,12.033333333333331,2.0,0,0.0,Ukjent,Annet,0,,0,49532.0,61630,12098,https://www.finn.no/mobility/item/437991303
Nissan Leaf,2018,71000.0,270.0,12.0,2.0,0,1.0,Ukjent,Vestland,1,Car4Sale AS,0,114900.0,126980,12080,https://www.finn.no/mobility/item/452774661
Nissan Leaf,2018,95700.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,VELAND AUTO AS,0,98900.0,110944,12044,https://www.finn.no/mobility/item/452408394
Nissan Leaf,2021,93000.0,385.0,12.0,1.0,0,1.0,Ukjent,Annet,1,Rebil Salgshjelp,0,164999.0,176959,11960,https://www.finn.no/mobility/item/442440859
Nissan Leaf,2022,67000.0,270.0,12.0,1.0,0,1.0,N-Connecta,Annet,1,Panther Auto AS,0,149900.0,161853,11953,https://www.finn.no/mobility/item/447550976
Nissan Leaf,2022,20600.0,270.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Brennes Auto Moss AS,0,195000.0,206930,11930,https://www.finn.no/mobility/item/452957750
Nissan Leaf,2019,65000.0,270.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Dahles Auto Moss AS,0,129900.0,141820,11920,https://www.finn.no/mobility/item/439021077
Nissan Leaf,2016,87000.0,270.0,-0.1333333333333333,1.0,0,0.0,Ukjent,Annet,0,,0,34532.0,46374,11842,https://www.finn.no/mobility/item/451448124
Nissan Leaf,2023,70393.0,385.0,21.933333333333334,1.0,0,1.0,Ukjent,Oslo/Akershus,0,,0,210000.0,221787,11787,https://www.finn.no/mobility/item/450382567
Nissan Leaf,2022,117100.0,385.0,12.0,1.0,0,1.0,Tekna,Annet,1,Rebil,0,174900.0,186592,11692,https://www.finn.no/mobility/item/451924999
