title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,Nissan,Leaf,2022.0,65411.0,385.0,22.6,1.0,0.0,1.0,Ukjent,Annet,1.0,Autoplan AS,0,69000.0,122152,53152,https://www.finn.no/mobility/item/452639352
Nissan Leaf,Nissan,Leaf,2020.0,84000.0,385.0,9.6,5.0,0.0,0.0,Ukjent,Oslo/Akershus,0.0,,0,157532.0,187371,29839,https://www.finn.no/mobility/item/453313855
Nissan Leaf,Nissan,Leaf,2020.0,142800.0,270.0,24.666666666666668,1.0,0.0,0.0,Ukjent,Annet,0.0,,0,99532.0,127858,28326,https://www.finn.no/mobility/item/449088162
Nissan Leaf,Nissan,Leaf,2020.0,80000.0,385.0,24.166666666666668,1.0,0.0,0.0,Ukjent,Annet,0.0,,0,159999.0,185959,25960,https://www.finn.no/mobility/item/443421727
Nissan Leaf,Nissan,Leaf,2022.0,50500.0,270.0,22.166666666666668,1.0,0.0,0.0,Ukjent,Vestfold/Telemark,1.0,Ramnes Bil AS,0,139532.0,163284,23752,https://www.finn.no/mobility/item/447134279
Nissan Leaf,Nissan,Leaf,2021.0,93000.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Annet,1.0,Rebil Salgshjelp,0,164999.0,188741,23742,https://www.finn.no/mobility/item/442440859
Nissan Leaf,Nissan,Leaf,2021.0,68550.0,385.0,12.0,1.0,0.0,1.0,Tekna,Annet,1.0,Rebil,0,174900.0,197630,22730,https://www.finn.no/mobility/item/449813475
Nissan Leaf,Nissan,Leaf,2018.0,103000.0,270.0,12.0,1.0,0.0,1.0,Tekna,Annet,1.0,Car4Sale AS,0,99900.0,122533,22633,https://www.finn.no/mobility/item/452497607
Nissan Leaf,Nissan,Leaf,2020.0,87000.0,385.0,12.0,1.0,0.0,1.0,N-Connecta,Annet,1.0,Romerike Autohus AS,0,159000.0,180870,21870,https://www.finn.no/mobility/item/450147346
Nissan Leaf,Nissan,Leaf,2020.0,65200.0,270.0,12.366666666666667,3.0,0.0,0.0,Tekna,Oslo/Akershus,0.0,,0,129532.0,151233,21701,https://www.finn.no/mobility/item/453028925
Nissan Leaf,Nissan,Leaf,2021.0,82500.0,385.0,12.0,1.0,0.0,1.0,Ukjent,Østfold,1.0,Brennes Auto Moss AS,0,169000.0,190028,21028,https://www.finn.no/mobility/item/448245939
Nissan Leaf,Nissan,Leaf,2022.0,91451.0,270.0,0.8,1.0,0.0,1.0,Ukjent,Vestland,1.0,Vestland Bil & Import AS,0,144532.0,165184,20652,https://www.finn.no/mobility/item/452301149
