title,car_make,car_model,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,status,price_cleaned,predicted_value,value_difference,url
Tesla Model 3,Tesla,Model 3,2025.0,20000.0,513.0,12.0,1.0,0.0,0.0,Ukjent,Oslo/Akershus,1.0,Bilma,0,Aktiv,11500.0,232905,221405,https://www.finn.no/mobility/item/441763918
Tesla Model 3,Tesla,Model 3,2019.0,183000.0,530.0,12.0,1.0,0.0,1.0,Performance,Oslo/Akershus,1.0,Kingo Rides AS,0,Aktiv,13445.0,118134,104689,https://www.finn.no/mobility/item/420659925
Tesla Model 3,Tesla,Model 3,2019.0,36471.0,530.0,22.33333333333333,2.0,0.0,0.0,Ukjent,Nord-Norge,0.0,,0,Aktiv,229532.0,298948,69416,https://www.finn.no/mobility/item/450430831
Tesla Model 3,Tesla,Model 3,2026.0,4600.0,750.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,Kyvik Auto AS,0,Aktiv,419000.0,469395,50395,https://www.finn.no/mobility/item/450313241
Tesla Model 3,Tesla,Model 3,2023.0,153750.0,560.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,Auksjonen.No AS,0,Aktiv,237505.0,279481,41976,https://www.finn.no/mobility/item/452527337
Tesla Model 3,Tesla,Model 3,2020.0,230115.0,560.0,12.0,1.0,0.0,0.0,Ukjent,Vestfold/Telemark,1.0,Auksjonen.No AS,0,Aktiv,104532.0,141024,36492,https://www.finn.no/mobility/item/449368022
Tesla Model 3,Tesla,Model 3,2021.0,92500.0,448.0,18.0,1.0,0.0,1.0,Standard Range,Annet,0.0,,0,Aktiv,184532.0,218498,33966,https://www.finn.no/mobility/item/453126239
Tesla Model 3,Tesla,Model 3,2020.0,52320.0,333.0,24.33333333333333,1.0,0.0,0.0,Ukjent,Vestland,1.0,Tesla Motors Norway AS,0,Aktiv,205500.0,237385,31885,https://www.finn.no/mobility/item/450733305
Tesla Model 3,Tesla,Model 3,2021.0,71000.0,448.0,15.733333333333333,1.0,0.0,1.0,Ukjent,Annet,0.0,,0,Aktiv,199800.0,230849,31049,https://www.finn.no/mobility/item/451509773
Tesla Model 3,Tesla,Model 3,2019.0,121500.0,560.0,12.0,1.0,0.0,0.0,Ukjent,Annet,1.0,AUTO LINK AS,0,Aktiv,169990.0,200041,30051,https://www.finn.no/mobility/item/409068519
Tesla Model 3,Tesla,Model 3,2021.0,81500.0,580.0,12.8,1.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,239600.0,267747,28147,https://www.finn.no/mobility/item/450751185
Tesla Model 3,Tesla,Model 3,2021.0,91000.0,580.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,Rebil Salgshjelp,0,Aktiv,230000.0,257653,27653,https://www.finn.no/mobility/item/442508829
Tesla Model 3,Tesla,Model 3,2020.0,88600.0,560.0,12.0,2.0,0.0,1.0,Long Range,Annet,1.0,Rebil,0,Aktiv,218900.0,245878,26978,https://www.finn.no/mobility/item/452517912
Tesla Model 3,Tesla,Model 3,2021.0,95000.0,448.0,15.466666666666669,1.0,0.0,0.0,Standard Range,Annet,0.0,,0,Aktiv,188532.0,215454,26922,https://www.finn.no/mobility/item/453009300
Tesla Model 3,Tesla,Model 3,2021.0,108500.0,567.0,15.2,3.0,0.0,0.0,Performance,Rogaland,0.0,,0,Aktiv,245000.0,271842,26842,https://www.finn.no/mobility/item/449220309
Tesla Model 3,Tesla,Model 3,2021.0,127700.0,567.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,Optimal Auto AS,0,Aktiv,245000.0,271790,26790,https://www.finn.no/mobility/item/453253757
Tesla Model 3,Tesla,Model 3,2020.0,99000.0,560.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,URBAN AUTO AS,0,Aktiv,219900.0,244888,24988,https://www.finn.no/mobility/item/447523980
Tesla Model 3,Tesla,Model 3,2020.0,74000.0,409.0,12.0,1.0,0.0,1.0,Ukjent,Rogaland,1.0,SANDESTEEN BIL AS,0,Aktiv,197000.0,221874,24874,https://www.finn.no/mobility/item/453607645
Tesla Model 3,Tesla,Model 3,2021.0,76000.0,448.0,20.266666666666666,2.0,0.0,1.0,Standard Range,Annet,0.0,,0,Aktiv,198532.0,222968,24436,https://www.finn.no/mobility/item/327599117
Tesla Model 3,Tesla,Model 3,2022.0,37840.0,602.0,25.0,1.0,0.0,0.0,Long Range,Oslo/Akershus,0.0,,0,Aktiv,323532.0,347400,23868,https://www.finn.no/mobility/item/451893247
Tesla Model 3,Tesla,Model 3,2019.0,115000.0,560.0,12.0,1.0,0.0,0.0,Performance,Oslo/Akershus,1.0,FHM AUTOSPORT AS,0,Aktiv,199000.0,222757,23757,https://www.finn.no/mobility/item/416798956
Tesla Model 3,Tesla,Model 3,2021.0,126500.0,614.0,12.0,1.0,0.0,1.0,Long Range,Annet,1.0,FHM AUTOSPORT AS,0,Aktiv,219000.0,242201,23201,https://www.finn.no/mobility/item/449812266
Tesla Model 3,Tesla,Model 3,2024.0,27000.0,528.0,28.0,2.0,0.0,1.0,Performance,Annet,0.0,,0,Aktiv,459505.0,482677,23172,https://www.finn.no/mobility/item/449574127
Tesla Model 3,Tesla,Model 3,2020.0,92235.0,560.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,AGDER BIL OG KAROSSERI AS,0,Aktiv,219900.0,242735,22835,https://www.finn.no/mobility/item/452864933
Tesla Model 3,Tesla,Model 3,2019.0,150000.0,530.0,12.666666666666666,4.0,0.0,0.0,Performance,Vestland,0.0,,0,Aktiv,164999.0,187243,22244,https://www.finn.no/mobility/item/306872984
Tesla Model 3,Tesla,Model 3,2020.0,63000.0,560.0,6.3,2.0,0.0,0.0,Long Range,Oslo/Akershus,0.0,,0,Aktiv,223532.0,245654,22122,https://www.finn.no/mobility/item/449236061
Tesla Model 3,Tesla,Model 3,2022.0,132000.0,559.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,Pitstop Bilsalg Ny AS,0,Aktiv,248982.0,271079,22097,https://www.finn.no/mobility/item/448440583
Tesla Model 3,Tesla,Model 3,2021.0,79889.0,580.0,19.03333333333333,1.0,0.0,0.0,Ukjent,Østfold,0.0,,0,Aktiv,244532.0,266592,22060,https://www.finn.no/mobility/item/452962124
Tesla Model 3,Tesla,Model 3,2024.0,10500.0,629.0,32.13333333333333,1.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,419505.0,441189,21684,https://www.finn.no/mobility/item/451568556
Tesla Model 3,Tesla,Model 3,2021.0,87823.0,580.0,12.0,1.0,0.0,0.0,Long Range,Vestfold/Telemark,1.0,Auksjonen.No AS,0,Aktiv,204532.0,226179,21647,https://www.finn.no/mobility/item/444961669
Tesla Model 3,Tesla,Model 3,2023.0,93000.0,547.0,12.0,1.0,0.0,1.0,Performance,Annet,1.0,DAYTONA BILSENTER AS,0,Aktiv,319900.0,341427,21527,https://www.finn.no/mobility/item/453110563
Tesla Model 3,Tesla,Model 3,2020.0,76000.0,560.0,12.0,1.0,0.0,0.0,Long Range,Annet,1.0,Romerike Autohus AS,0,Aktiv,238000.0,259215,21215,https://www.finn.no/mobility/item/450690665
Tesla Model 3,Tesla,Model 3,2025.0,7500.0,660.0,43.06666666666667,1.0,0.0,1.0,Long Range,Annet,0.0,,0,Aktiv,427505.0,448501,20996,https://www.finn.no/mobility/item/446977680
Tesla Model 3,Tesla,Model 3,2021.0,96000.0,640.0,12.0,1.0,0.0,1.0,Ukjent,Oslo/Akershus,1.0,Karisma Auto AS,0,Aktiv,248900.0,269859,20959,https://www.finn.no/mobility/item/453091451
